title,date,author
VAKSIN COVID-19 PFIZER BERBAHAYA BAGI WANITA HAMIL DAN MENYUSUI,"Rabu, 04 Mei 2022", Tommy Sutami
ARI LASSO MENINGGAL DUNIA,"Rabu, 04 Mei 2022", Tommy Sutami
DRUMMER FOO FIGHTER MENINGGAL DUNIA DISEBABKAN VAKSIN COVID 19,"Rabu, 04 Mei 2022", Tommy Sutami
VIDEO TAWURAN GENG MOTOR DI MERTAPADA KAB. CIREBON,"Rabu, 04 Mei 2022", ALFIANTO YUSTINOVA
AKUN FACEBOOK MENGATASNAMAKAN BUPATI CIREBON,"Rabu, 04 Mei 2022", ALFIANTO YUSTINOVA
ES KRIM MCDONALD'S MENGANDUNG XYLITOL,"Rabu, 04 Mei 2022", Tommy Sutami
SEORANG WANITA TERANCAM 25 TAHUN PENJARA KARENA BUNUH PELAKU PEMERKOSAAN,"Rabu, 04 Mei 2022", Tommy Sutami
IMBAUAN DARI KEMENKES TERKAIT ANTISIPASI PENYAKIT HEPATITIS,"Rabu, 04 Mei 2022", Tommy Sutami
KPK GELEDAH ANIES KARENA GELAPKAN UANG FORMULA E,"Rabu, 20 April 2022", Fani Hardian
VIDEO PERAHU TERGULUNG OMBAK DI PANGANDARAN,"Rabu, 20 April 2022", Tommy Sutami
HEPATITIS AKUT EFEK SAMPING VAKSIN COVID-19,"Rabu, 20 April 2022", Tommy Sutami
SHOLAT IED DI MASJID ISTIQAL 300 RIBU ORANG MELUBER SAMPAI HALAMAN GEREJA KATEDRAL,"Rabu, 20 April 2022", Fani Hardian
CARA SHOLAT JENAZAH WAPRES MAARUF AMIN PAKAI RUKU DAN SUJUD,"Rabu, 20 April 2022", Fani Hardian
"LARANGAN KERAS ! TABUNG GAS TIDAK BOLEH DIGOYANG-GOYANG, BISA MENIMBULKAN LEDAKAN…","Rabu, 20 April 2022", Fani Hardian
AIR PARE YANG PANAS DAPAT MEMBUNUH SEL KANKER,"Rabu, 20 April 2022", Tommy Sutami
PENAMPAKAN BIGFOOT DI PURWOKERTO,"Rabu, 20 April 2022", Fani Hardian
VIDEO DETIK DETIK RUNTUHNYA ALFAMART DI GAMBUT KABUPATEN BANJAR KALSEL,"Rabu, 20 April 2022", Tommy Sutami
MARBOT MASJID TEWAS DIKEROYOK MASSA YANG TAK SUKA DIBANGUNKAN SAHUR PAKAI PENGERAS…,"Selasa, 12 April 2022", Tommy Sutami
MARUF AMIN SEBUT JOKOWI PUNYA MUKJIZAT BISA BICARA DENGAN BINATANG SEPERTI NABI…,"Selasa, 12 April 2022", Tommy Sutami
MAHFUD MD SEBUT JOKOWI BAPAK PAHLAWAN BANGSA MELEBIHI JENDERAL SUDIRMAN,"Selasa, 12 April 2022", Tommy Sutami
"RUSSIA AKAN SERANG ISRAEL DALAM WAKTU DEKAT INI, JIKA TAK HENTIKAN SERANGAN KE PALESTINA","Selasa, 12 April 2022", Tommy Sutami
ANNIVERSARY BANK BRI YANG KE 130 DAPATKAN HADIAH RP 2.000.000,"Selasa, 12 April 2022", Tommy Sutami
ANNIVERSARY GARUDA INDONESIA KE 73 BAGI-BAGI HADIAH RP. 2.000.000,"Selasa, 12 April 2022", Tommy Sutami
WHO DIKABARKAN AKUI TES PCR BERMASALAH,"Selasa, 12 April 2022", Tommy Sutami
LUHUT SEBUT WARGA JAWA BARAT PASTI MENDUKUNG JOKOWI TIGA PERIODE,"Selasa, 12 April 2022", Tommy Sutami
VIDEO SITUASI UNJUK RASA MAHASISWA RICUH DI DPR,"Selasa, 12 April 2022", Tommy Sutami
FOTO MAHASISWA KHILAF BUKA PUASA USAI AZAN ZUHUR GARA-GARA DEMO,"Selasa, 12 April 2022", Tommy Sutami
SITUS CNN INDONESIA UNGKAP PENGEROYOKAN ADE ARMANDO ADALAH REKAYASA KEPOLISIAN UNTUK…,"Selasa, 12 April 2022", ALFIANTO YUSTINOVA
KABAR APARAT AMANKAN 50 TON MINYAK GORENG DI KEDIAMAN IBAS,"Senin, 04 April 2022", Tommy Sutami
VIDEO MAHASISWA BERHASIL MASUK GEDUNG DPR PADA 11 APRIL 2022,"Senin, 04 April 2022", Tommy Sutami
PERWIRA POLISI MENINGGAL KARENA BENTROK DENGAN PENDEMO DI KENDARI,"Senin, 04 April 2022", Tommy Sutami
LOWONGAN KERJA PT ANGKASA PURA I DENGAN BATAS LAMARAN 25 APRIL 2022,"Senin, 04 April 2022", Tommy Sutami
KLAIM AKUN FACEBOOK SEORANG IBU PROVOKATOR PENGEROYOKAN ADE ARMANDO,"Senin, 04 April 2022", Tommy Sutami
VIDEO SEORANG IBU PROVOKATOR PENGEROYOKAN ADE ARMANDO MENANGIS USAI DITANGKAP,"Senin, 04 April 2022", Tommy Sutami
MENGONSUMSI BUAH ZURIAT DIKLAIM MENINGKATKAN PELUANG KEHAMILAN,"Senin, 04 April 2022", Tommy Sutami
BEREDAR FOTO GURU HONORER MENINGGAL KARENA TAK MEMILIKI UANG UNTUK BEROBAT,"Senin, 04 April 2022", Tommy Sutami
"WABAH PENGERASAN OTAK, DIABETES, PENGERASAN SUMSUM TULANG BELAKANG DISEBABKAN BEBERAPA…","Senin, 04 April 2022", Tommy Sutami
MENAG YAQUT SEBUT HAJI 2022 BATAL DAN DANANYA DIGUNAKAN UNTUK PEMBANGUNAN IKN NUSANTARA,"Senin, 04 April 2022", Tommy Sutami
DOKTER TERAWAN SELANGKAH LAGI MILIK JERMAN SETELAH DIPECAT IDI,"Rabu, 16 Februari 2022", Tommy Sutami
VAKSIN DAN TES SWAB COVID19 DIKLAIM MEMBATALKAN PUASA,"Rabu, 16 Februari 2022", Tommy Sutami
MINTA YAQUT : MINTA POLISI JAGA MASJID SAAT TERAWIH UNTUK CEGAH RADIKALISME,"Rabu, 16 Februari 2022", Tommy Sutami
SURAT ALI MOCHTAR NGABALIN MINTA SUMBANGAN RP800 JUTA KE WALI KOTA CIREBON,"Rabu, 16 Februari 2022", Tommy Sutami
VIDEO MANUSIA TERTUA DI DUNIA BERUSIA 399 TAHUN,"Rabu, 16 Februari 2022", Tommy Sutami
LOWONGAN KERJA DINAS KESEHATAN KABUPATEN BANDUNG BARAT,"Rabu, 16 Februari 2022", Tommy Sutami
NU DAN KEMENAG KONGKALIKONG ATUR PUASA 29 HARI,"Rabu, 16 Februari 2022", Tommy Sutami
VIDEO ANTREAN MINYAK GORENG TERPANJANG DI DUNIA BERADA DI GARUT,"Rabu, 16 Februari 2022", Tommy Sutami
FOTO JOKOWI BERIKAN MINYAK GORENG KEMASAN KE JUARA MOTOGP MANDALIKA MIGUEL OLIVEIRA,"Rabu, 16 Februari 2022", Tommy Sutami
"KOMJEN POL. DRS. DHARMA PONGREKUN, M.M., M.H : MASKER MERUSAK IMUN TUBUH, PENGGUNAAN…","Rabu, 09 Maret 2022", Tommy Sutami
MUI MINTA ACARA TV YANG DIISI AYU TING TING DIHENTIKAN,"Rabu, 09 Maret 2022", Tommy Sutami
VIDEO DPR RESMI TUNDA PEMILU 2024 DAN PERPANJANG MASA JABATAN PRESIDEN,"Rabu, 09 Maret 2022", Tommy Sutami
AKHIRNYA JURAGAN 99 PEMILIK MS GLOW DICIDUK BARESKRIM,"Rabu, 09 Maret 2022", Tommy Sutami
ERICK THOHIR DIAM-DIAM DICOPOT JOKOWI SEBAGAI MENTERI BUMN,"Rabu, 09 Maret 2022", ALFIANTO YUSTINOVA
CARA CEK MINYAK GORENG LIMBAH BERBAHAYA DENGAN MENGGUNAKAN BAWANG PUTIH,"Rabu, 09 Maret 2022", Ganjar Darussalam
PASAL 14 PADA UNDANG-UNDANG NOMOR 33 TAHUN 2014 TENTANG JAMINAN PRODUK HALAL DIHAPUS,"Rabu, 09 Maret 2022", DEPI AGUNG SETIAWAN
FADLI ZON DIJEMPUT DENSUS 88,"Rabu, 09 Maret 2022", Tommy Sutami
PEMERINTAH MINTA MASYARAKAT IKUT WAJIB MILITER ANTISIPASI PERANG DUNIA KETIGA,"Rabu, 09 Maret 2022", Tommy Sutami
"SARUNG BERMOTIF BINATANG, BENARKAH ITU GAMBAR ANJING?","Rabu, 09 Maret 2022", Tommy Sutami
KULIT BAYI BARU LAHIR MELEPUH KARENA SANG IBU DIVAKSIN COVID-19 SAAT HAMIL,"Rabu, 09 Maret 2022", Tommy Sutami
HADIAH RP 75 JUTA DARI BPJS KESEHATAN,"Senin, 21 Februari 2022", Fani Hardian
"VLADIMIR PUTIN ANCAM FIFA, JIKA RUSIA TIDAK BISA BERMAIN DI PIALA DUNIA MAKA TIDAK…","Senin, 21 Februari 2022", Tommy Sutami
HADIAH RP 2 JUTA DARI BIMOLI,"Senin, 21 Februari 2022", ALFIANTO YUSTINOVA
VLADIMIR PUTIN AKAN BANTU PENGADAAN MINYAK GORENG MURAH UNTUK INDONESIA,"Senin, 21 Februari 2022", DEPI AGUNG SETIAWAN
VAKSIN COVID-19 MENYEBABKAN KANKER KAMBUH,"Senin, 21 Februari 2022", Tommy Sutami
UKRAINA MENGANCAM AKAN MENARIK KEMERDEKAAN INDONESIA,"Senin, 21 Februari 2022", Tommy Sutami
INDONESIA DIKABARKAN PUTUSKAN DIPLOMATIK DENGAN MALAYSIA DAN SIAP BERPERANG,"Senin, 21 Februari 2022", Tommy Sutami
YAQUT CHOLIL COUMAS  BERPURA-PURA JADI MUALAF AGAR MENJADI MENTERI MELALUI NU,"Senin, 21 Februari 2022", ALFIANTO YUSTINOVA
WELCOME TO BANDUNG : DELE ALLI,"Senin, 21 Februari 2022", ALFIANTO YUSTINOVA
PRODUK MAKANAN THAILAND TERPAPAR VIRUS HIV,"Jum'at, 11 Februari 2022", ALFIANTO YUSTINOVA
PENEMUAN MAYAT KORBAN PEMBUNUHAN TANPA KEPALA DI CIKARANG,"Jum'at, 11 Februari 2022", ALFIANTO YUSTINOVA
WHATSAPP MENGATASNAMAKAN KOPERASI SIMPAN PINJAM MAKMUR MANDIRI,"Jum'at, 11 Februari 2022", ALFIANTO YUSTINOVA
VIDEO SURAT VAKSIN KE-3 YANG BERTULISKAN 5G,"Jum'at, 11 Februari 2022", Tommy Sutami
PESAWAT TIONGKOK MENYEBARKAN CHEMTRAILS DI INDONESIA,"Jum'at, 11 Februari 2022", ALFIANTO YUSTINOVA
"BERITA DUKA, TELAH MENINGGAL ARTIS PELAWAK NUNUNG AKIBAT KECELAKAAN","Jum'at, 11 Februari 2022", ALFIANTO YUSTINOVA
FOTO SEORANG ANGGOTA POLISI BABAK BELUR DIHAJAR MASSA,"Jum'at, 11 Februari 2022", ALFIANTO YUSTINOVA
"BENGKEL PESAWAT BANDARA KERTAJATI, KAMUFLASE PINTU MASUK TENTARA TIONGKOK
 ","Jum'at, 11 Februari 2022", ALFIANTO YUSTINOVA
PROSES REKRUTMEN DINAS PENDIDIKAN KOTA BOGOR,"Jum'at, 11 Februari 2022", ALFIANTO YUSTINOVA
NASI YANG DIHANGATKAN LEBIH DARI 12 JAM DI MAGIC COM BERUBAH JADI RACUN,"Jum'at, 11 Februari 2022", ALFIANTO YUSTINOVA
AKUN WHATSAPP MENGATASNAMAKAN PLT WALIKOTA BANDUNG,"Jum'at, 11 Februari 2022", ALFIANTO YUSTINOVA
ARIEL NOAH MENINGGAL DUNIA AKIBAT KECELAKAAN,"Rabu, 26 Januari 2022", ALFIANTO YUSTINOVA
ASAP PUTIH DI LANGIT BANDUNG INI AKAN BUAT WARGA KERACUNAN,"Rabu, 26 Januari 2022", Tommy Sutami
PESAWAT DIDUGA SEBARKAN CHEMTRAIL BAHAN KIMIA DI LANGIT JAKARTA,"Rabu, 26 Januari 2022", ALFIANTO YUSTINOVA
CAMPURAN DAUN PEPAYA DAN JAHE DAPAT MENGOBATI COVID-19,"Rabu, 26 Januari 2022", ALFIANTO YUSTINOVA
VIDEO SEORANG SEPERTI ZOMBIE SETELAH DISUNTIK VAKSIN,"Rabu, 26 Januari 2022", ALFIANTO YUSTINOVA
VIDEO ERUPSI GUNUNG ANAK KRAKATAU PADA 4 FEBRUARI 2022,"Rabu, 26 Januari 2022", ALFIANTO YUSTINOVA
MS GLOW GELAR GIVE AWAY BERHADIAH RP 85 JUTA,"Rabu, 26 Januari 2022", ALFIANTO YUSTINOVA
VIDEO : SRI PAUS YOHANES UMUMKAN MASUK ISLAM DIDEPAN RIBUAN UMAT KHATOLIK,"Rabu, 26 Januari 2022", Ganjar Darussalam
"TENTARA CHINA NYAMAR JADI TUKANG GOJEK, NANGIS KARENA GA BISA PULANG KE TEMPAT PERSEMBUNYIANNYA","Rabu, 26 Januari 2022", Ganjar Darussalam
GURU SMPN2 CILEUNYI BAGI-BAGI PULSA SEBESAR 100RB,"Rabu, 26 Januari 2022", ALFIANTO YUSTINOVA
MINUM KOPI PAHIT BISA SEMBUHKAN VARIAN OMICRON,"Senin, 17 Januari 2022", Tommy Sutami
BAHAR BIN SMITH MENINGGAL DUNIA,"Senin, 17 Januari 2022", ALFIANTO YUSTINOVA
AKUN WHATSAPP MENGATASNAMAKAN WAKIL BUPATI BOGOR,"Senin, 17 Januari 2022", ALFIANTO YUSTINOVA
SURAT TERBUKA BERISI KLAIM VAKSINASI MERUPAKAN PROGRAM GENOSIDA DAN MENYEBABKAN…,"Senin, 17 Januari 2022", ALFIANTO YUSTINOVA
OMICRON BUKAN VIRUS TAPI CHEMTRAIL YANG DISEBARKAN PESAWAT,"Senin, 17 Januari 2022", Tommy Sutami
TIDAK PAKAI MASKER DI TEMPAT UMUM LANGSUNG DENDA RP.250 RIBU,"Senin, 17 Januari 2022", ALFIANTO YUSTINOVA
PROGRAM BANSOS DENGAN LINK PENDAFTARAN,"Senin, 17 Januari 2022", DEPI AGUNG SETIAWAN
PERMEN YUPI TERBUAT DARI KULIT BABI,"Senin, 17 Januari 2022", ALFIANTO YUSTINOVA
CERITA SESEORANG TERKURAS UANG DI REKENINGNYA SEBAB IA MENEKAN TOMBOL ANGKA 1 DI…,"Senin, 17 Januari 2022", DEPI AGUNG SETIAWAN
SEORANG GURU NGAJI LUMPUH KARENA DIVAKSIN,"Senin, 17 Januari 2022", ALFIANTO YUSTINOVA
VIDEO PELAKU PENCULIKAN ANAK BABAK BELUR DIAMUK MASSA DI BOGOR,"Selasa, 11 Januari 2022", ALFIANTO YUSTINOVA
KISAH KEHIDUPAN UPIN-IPIN DI DUNIA NYATA,"Selasa, 11 Januari 2022", ALFIANTO YUSTINOVA
FOTO JALAN RUSAK DAN MASJID ROBOH KARENA GEMPA BANTEN 2022,"Selasa, 11 Januari 2022", ALFIANTO YUSTINOVA
METEOR AKAN JATUH DI INDONESIA PADA 7 MEI 2022,"Selasa, 11 Januari 2022", ALFIANTO YUSTINOVA
GULA MERAH LEBIH SEHAT KETIMBANG GULA PUTIH,"Selasa, 11 Januari 2022", Tommy Sutami
PEMINDAHAN IBU KOTA KE KALTIM ADALAH PROGRAM PKI TAHUN 1955,"Selasa, 11 Januari 2022", Ganjar Darussalam
TUKUL ARWANA DIKABARKAN MENINGGAL DUNIA,"Selasa, 11 Januari 2022", ALFIANTO YUSTINOVA
MUNCUL VARIAN BARU COVID-19 BERNAMA FLORONA,"Selasa, 11 Januari 2022", Tommy Sutami
AKAN BEREDAR VIDEO SOAL COVID-19 INDIA YANG RETAS PONSEL DALAM 10 DETIK,"Selasa, 11 Januari 2022", Tommy Sutami
PLN PADAMKAN LISTRIK MULAI JANUARI 2022 AKIBAT KRISIS BATU BARA,"Minggu, 26 Desember 2021", Tommy Sutami
VIDEO PELAKU PENCULIKAN ANAK YANG TERJADI DI SINDANG BARANG,"Minggu, 26 Desember 2021", Tommy Sutami
BUMI AKAN MENGALAMI FENOMENA APHELION,"Minggu, 26 Desember 2021", Tommy Sutami
PENERIMA VAKSIN COVID-19 LEBIH MUDAH TERINFEKSI OMICRON DIBANDINGKAN NONVAKSIN,"Minggu, 26 Desember 2021", Tommy Sutami
SELAMAT NOMOR ANDA MENDAPATKAN HADIAH CEK 155JUTA DARI GIVEAWAY TIK TOK 2021,"Minggu, 26 Desember 2021", ALFIANTO YUSTINOVA
SURAT PEMBERITAHUAN AGENDA STUDY TOUR KE YOGYAKARTA DARI UNISBA,"Minggu, 26 Desember 2021", DEPI AGUNG SETIAWAN
AKSES AKUN FACEBOOK GUNAKAN BUKTI VAKSINASI COVID-19,"Minggu, 26 Desember 2021", Tommy Sutami
PERAYAAN HUT PERTAMINA KE-55 MELALUI KUISIONER ANDA AKAN MEMILIKI KESEMPATAN UNTUK…,"Minggu, 26 Desember 2021", Ganjar Darussalam
WASPADA MENGAKU MAHASISWA MEMINTA FOTO KTP UNTUK PINJOL,"Minggu, 26 Desember 2021", Tommy Sutami
SERUAN ISI PENUH  TANGKI BBM KARENA KARYAWAN PERTAMINA MOGOK KERJA,"Minggu, 26 Desember 2021", Tommy Sutami
BENARKAH SULE MENINGGAL?,"Senin, 29 November 2021", Tommy Sutami
SMS BPJS KESEHATAN BAGIKAN DANA BANTUAN RP75 JUTA,"Senin, 29 November 2021", Tommy Sutami
AKUN PT PETROKIMIA GRESIK,"Senin, 29 November 2021", Tommy Sutami
HADIAH 200RIBU RUPIAH HUT JNE,"Senin, 29 November 2021", Tommy Sutami
LINK UNDIAN SHOPEE BERHADIAH VOUCHER BELANJA RP.2 JUTA,"Senin, 29 November 2021", Tommy Sutami
SMS PEMBERITAHUAN PEMENANG UNDIAN DARI XL AXIATA UANG TUNAI 3.000.000 DAN BONUS…,"Senin, 29 November 2021", Tommy Sutami
KTP ELEKTRONIK BISA DAPAT BANTUAN RP 500 RIBU?,"Senin, 29 November 2021", 
PELARANGAN PEMBANGUNAN MASJID DI MANOKWARI YANG DIKLAIM SEBAGAI KOTA INJIL,"Senin, 29 November 2021", Tommy Sutami
KLAIM MANDI DENGAN BORAKS BISA HILANGKAN EFEK VAKSIN,"Senin, 29 November 2021", Tommy Sutami
BENARKAH KONSUMSI SAYUR PAKIS MENGAKIBATKAN KANKER LAMBUNG,"Senin, 29 November 2021", Tommy Sutami
VIDEO AIR LAUT SURUT DI PANTAI MERAK BANTEN PADA 6 DESEMBER 2021,"Jum'at, 19 November 2021", Tommy Sutami
VIDEO KELUARNYA LAVA DARI GUNUNG SEMERU,"Jum'at, 19 November 2021", Tommy Sutami
VIDEO WANITA DI SUBANG MINTA TOLONG KARENA TERJEBAK BANJIR DI DALAM RUMAH PADA TANGGAL…,"Jum'at, 19 November 2021", Tommy Sutami
GEJALA COVID-19 VARIAN OMICRON DISEBABKAN OLEH KOMPLIKASI DARI VAKSIN COVID-19 ,"Jum'at, 19 November 2021", 
VIDEO YANG DIKLAIM ERUPSI GUNUNG SEMERU,"Jum'at, 19 November 2021", Tommy Sutami
VIDEO MELETUSNYA GUNUNG SEMERU PADA 4 DESEMBER 2021,"Jum'at, 19 November 2021", Tommy Sutami
MODUS PENIPUAN DI WHATSAPP MENGATAS NAMAKAN WAKIL WALIKOTA CIREBON,"Jum'at, 19 November 2021", 
TANGGAPAN ATALIA PRARATYA (ISTRI RIDWAN KAMIL) ATAS KASUS PREDATOR SEKS HERRY WIRAWAN.,"Jum'at, 19 November 2021", Tommy Sutami
ISTRI CEO PFIZER MENINGGAL DUNIA KARENA KOMPLIKASI VAKSIN COVID19,"Jum'at, 19 November 2021", Tommy Sutami
TELEGRAM BAGI BAGI BONUS TAHUNAN VOUCHER INTERNET 52GB,"Jum'at, 19 November 2021", Tommy Sutami
BENARKAH VARIAN DELTA BERASAL DARI VAKSIN COVID19,"Jum'at, 19 November 2021", Tommy Sutami
PEMENANG HADIAH SHOPEE WAJIB TRANSFER DANA JAMINAN RP500 RIBU KE REKENING TERTENTU,"Kamis, 11 November 2021", 
BANK INDONESIA TAWARKAN INVESTASI ONLINE LEWAT TELEGRAM,"Kamis, 11 November 2021", Tommy Sutami
BENARKAH KSAD JENDERAL DUDUNG MENANTU MOELDOKO,"Kamis, 11 November 2021", Tommy Sutami
ALIANSI DOKTER DUNIA SEBUT VARIAN DELTA TIDAK PERNAH ADA,"Kamis, 11 November 2021", Tommy Sutami
HADIAH VOUCHER PULSA GRATIS SEBESAR 300.000 DARI TELEGRAM ,"Kamis, 11 November 2021", Ganjar Darussalam
BENARKAH VAKSINASI COVID-19 BERKAITAN DENGAN KASUS RIBUAN KEMATIAN PER HARI DI INDONESIA?…,"Kamis, 11 November 2021", 
FOTO ALAT TEST COVID19 SUDAH BERLABEL POSITIF,"Kamis, 11 November 2021", Tommy Sutami
PEMERINTAH AKAN GELAR VAKSINASI MASSAL SECARA PAKSA DAN MEMATIKAN DI BULAN FEBRUARI…,"Kamis, 11 November 2021", Tommy Sutami
KESEHATAN JOKOWI DIKABARKAN MELEMAH DAN KRITIS,"Kamis, 11 November 2021", Tommy Sutami
KABAR ARTIS RANO KARNO MENINGGAL DUNIA,"Kamis, 21 Oktober 2021", Tommy Sutami
"PROGRAM MISIONARIS DARI ACEH, SUMATERA BARAT HINGGA JAWA BARAT","Kamis, 21 Oktober 2021", Rendy Wiguna
TES USAP COVID19 DAPAT MERUSAK AMIGDALA YANG MEMBUAT ORANG MENJADI PATUH DAN TUNDUK,"Kamis, 21 Oktober 2021", Tommy Sutami
BAYI TERLAHIR CACAT KARENA IBUNYA DIVAKSIN COVID19 SAAT MENGANDUNG,"Kamis, 21 Oktober 2021", Tommy Sutami
PEGAWAI KA BERANGKAT KERJA DIJEMPUT KERETA API DI DEPAN RUMAH,"Kamis, 21 Oktober 2021", 
BAHAYA VAKSIN BERISIKO TINGGI,"Kamis, 21 Oktober 2021", Ganjar Darussalam
"VIRAL TANAH DIAMBIL NEGARA JIKA AJB TIDAK BERSERTIFIKAT, BENARKAH ?","Kamis, 21 Oktober 2021", Tommy Sutami
MAHASISWA BISA MINTA BANTUAN KODAM KAWAL DEMONSTRASI,"Kamis, 21 Oktober 2021", ALFIANTO YUSTINOVA
AJID TEROBOS BANGUNAN SD YANG AMBRUK DEMI SELAMATKAN FOTO JIHYO,"Kamis, 21 Oktober 2021", Andrean M
"FOTO MESJID MELEDAK SAAT SHALAT JUMAT, 50 JAMAAH MENINGGAL DUNIA","Rabu, 06 Oktober 2021", Tommy Sutami
AKUN WHATSAPP MENGATASNAMAKAN BUPATI INDRAMAYU,"Rabu, 06 Oktober 2021", Tommy Sutami
AKUN WHATSAPP MENGATASNAMAKAN WAKIL KETUA DPRD KOTA CIREBON,"Rabu, 06 Oktober 2021", Tommy Sutami
PENAMPAKAN CAHAYA BOLA API BERGERAK MELINTASI REL KERETA API  ,"Rabu, 06 Oktober 2021", Tommy Sutami
"FOTO PONPES ALQURAN KEBAKARAN, 26 SANTRI DAN GURU MENINGGAL DUNIA","Rabu, 06 Oktober 2021", Tommy Sutami
UNDANGAN RAKERNAS ALUMNI MENGATASNAMAKAN PIMPINAN INSTITUSI DAN PIMPINAN UNPAR,"Rabu, 06 Oktober 2021", Tommy Sutami
FC BARCELONA TUNJUK LUHUT PANDJAITAN MENGGANTIKAN RONALD KOEMAN,"Rabu, 06 Oktober 2021", Tommy Sutami
PERTOLONGAN PERTAMA LUKA BAKAR DENGAN TEPUNG TERIGU,"Rabu, 06 Oktober 2021", Tommy Sutami
VOUCHER PULSA GRATIS SENILAI 500 RIBU DARI TELEGRAM,"Rabu, 06 Oktober 2021", DEPI AGUNG SETIAWAN
NARJI MENINGGAL DUNIA AKIBAT KECELAKAAN MAUT,"Rabu, 06 Oktober 2021", DEPI AGUNG SETIAWAN
UNI EROPA AKAN HENTIKAN VAKSIN COVID-19 PADA 20 OKTOBER 2021,"Rabu, 06 Oktober 2021", DEPI AGUNG SETIAWAN
MENGONSUMSI ANTIBIOTIK AMOXILLIN DAPAT MENYEMBUHKAN COVID19,"Rabu, 06 Oktober 2021", Tommy Sutami
VAKSIN COVID-19 PADA DASARNYA ADALAH ANTENA WIFI BERJALAN,"Rabu, 06 Oktober 2021", ALFIANTO YUSTINOVA
TAWARAN KUOTA GRATIS 50 GB DI PERAYAAN ULANG TAHUN WHATSAPP,"Rabu, 06 Oktober 2021", Tommy Sutami
IPB RILIS RANKING SAYURAN ANTI KANKER,"Rabu, 06 Oktober 2021", Tommy Sutami
BAHASA INDONESIA TELAH MENJADI BAHASA RESMI KEDUA DI VIETNAM,"Rabu, 06 Oktober 2021", Tommy Sutami
PEGADAIAN MELAKUKAN LELANG MELALUI ONLINE,"Rabu, 06 Oktober 2021", Tommy Sutami
PENELITI DI AS RENCANAKAN SEBAR VRUS INFLUENZA JENIS BARU,"Rabu, 06 Oktober 2021", Tommy Sutami
AKUN WHATSAPP MENGATASNAMAKAN KEPALA BAPPEDA KOTA DEPOK,"Rabu, 06 Oktober 2021", ALFIANTO YUSTINOVA
PARTAI PRIMA BUATAN ANAK-ANAK KOMUNIS,"Rabu, 06 Oktober 2021", ALFIANTO YUSTINOVA
VIDEO KUNJUNGAN JOKOWI DI PON PAPUA SEBAGAI BUKTI COVID-19 DAN PROKES TIDAK BERLAKU,"Rabu, 06 Oktober 2021", Tommy Sutami
ADA WALI ALLAH DI SURADE SUKABUMI,"Rabu, 06 Oktober 2021", ALFIANTO YUSTINOVA
SURAT PANGGILAN INTERVIEW KERJA PT JASA MARGA,"Rabu, 06 Oktober 2021", ALFIANTO YUSTINOVA
FOTO ANAK KORBAN PENCULIKAN DI CIREUNGHAS SUKABUMI,"Rabu, 06 Oktober 2021", ALFIANTO YUSTINOVA
RIBUAN ORANG DI INDONESIA MENINGGAL DUNIA SETELAH DIVAKSIN COVID-19,"Rabu, 06 Oktober 2021", ALFIANTO YUSTINOVA
GANGGUAN SIGNAL WHATSAPP BARU-BARU INI AKIBAT KABELNYA DITABRAK KAPAL SELAM AMERIKA,"Rabu, 06 Oktober 2021", DEPI AGUNG SETIAWAN
